p_end,e_end,log_likelihood,delta_log_likelihood
0.5530833333333334,0.8812500000000001,-52270.63042146923,3397.541052066583
0.5530833333333334,0.8875,-52330.14640934035,3457.057039937703
0.5530833333333334,0.89375,-52390.096681034236,3517.0073116315907
0.5530833333333334,0.9000000000000001,-52450.480485263135,3577.3911158604897
0.5530833333333334,0.90625,-52511.297104596764,3638.207735194119
0.5530833333333334,0.9125000000000001,-52572.545855021956,3699.45648561931
0.5530833333333334,0.91875,-52634.22608551685,3761.1367161142043
0.5530833333333334,0.925,-52696.33717763914,3823.247808236498
0.5530833333333334,0.9312500000000001,-52758.87854512808,3885.789175725433
0.5530833333333334,0.9375,-52821.84963351984,3948.760264117198
0.5530833333333334,0.9437500000000001,-52885.24991977584,4012.1605503731917
0.5530833333333334,0.95,-52949.07891192363,4075.9895425209834
0.5561666666666667,0.2,-48908.8384170286,35.74904762595543
0.5561666666666667,0.20625000000000002,-48900.869769053825,27.780399651179323
0.5561666666666667,0.21250000000000002,-48894.00431832891,20.914948926263605
0.5561666666666667,0.21875,-48888.219023424725,15.129654022079194
0.5561666666666667,0.225,-48883.49182451345,10.402455110801384
0.5561666666666667,0.23125,-48879.80158590818,6.7122165055334335
0.5561666666666667,0.23750000000000002,-48877.128042951575,4.038673548930092
0.5561666666666667,0.24375000000000002,-48875.45175285301,2.362383450366906
0.5561666666666667,0.25,-48874.75404911679,1.6646797141438583
0.5561666666666667,0.25625000000000003,-48875.01699924236,1.9276298397162464
0.5561666666666667,0.2625,-48876.22336541016,3.1339960075129056
0.5561666666666667,0.26875000000000004,-48878.35656789661,5.267198493966134
0.5561666666666667,0.275,-48881.400650987576,8.311281584930839
0.5561666666666667,0.28125,-48885.34025118227,12.25088177962607
0.5561666666666667,0.28750000000000003,-48890.16056750014,17.071198097495653
0.5561666666666667,0.29375,-48895.84733372142,22.757964318770973
0.5561666666666667,0.30000000000000004,-48902.38679240763,29.29742300498765
0.5561666666666667,0.30625,-48909.76567056327,36.67630116062355
0.5561666666666667,0.3125,-48917.971156812,44.88178740935109
0.5561666666666667,0.31875000000000003,-48926.99087997277,53.90151057012554
0.5561666666666667,0.325,-48936.81288893104,63.72351952839381
0.5561666666666667,0.33125000000000004,-48947.425633709725,74.33626430707955
0.5561666666666667,0.3375,-48958.81794765282,85.72857825017127
0.5561666666666667,0.34375,-48970.97903064174,97.88966123909631
0.5561666666666667,0.35000000000000003,-48983.8984332718,110.8090638691574
0.5561666666666667,0.35625,-48997.566041921484,124.47667251883831
0.5561666666666667,0.36250000000000004,-49011.97206465337,138.88269525072246
0.5561666666666667,0.36875,-49027.10701789029,154.01764848764287
0.5561666666666667,0.375,-49042.96171381463,169.87234441198234
0.5561666666666667,0.38125000000000003,-49059.52724844312,186.4378790404735
0.5561666666666667,0.3875,-49076.79499033278,203.70562093013723
0.5561666666666667,0.39375000000000004,-49094.756569877674,221.66720047502895
0.5561666666666667,0.4,-49113.403869158545,240.3144997558993
0.5561666666666667,0.40625,-49132.72901231066,259.6396429080123
0.5561666666666667,0.41250000000000003,-49152.72435637773,279.63498697508476
0.5561666666666667,0.41875,-49173.38248262198,300.29311321933346
0.5561666666666667,0.42500000000000004,-49194.69618826265,321.60681886000384
0.5561666666666667,0.43125,-49216.658478617406,343.56910921476083
0.5561666666666667,0.4375,-49239.262559622555,366.1731902199099
0.5561666666666667,0.44375000000000003,-49262.50183071001,389.41246130736545
0.5561666666666667,0.45,-49286.36987802036,413.2805086177177
0.5561666666666667,0.45625000000000004,-49310.860467932565,437.77109852992
0.5561666666666667,0.4625,-49335.96754089263,462.87817148998147
0.5561666666666667,0.46875,-49361.68520552429,488.59583612164715
0.5561666666666667,0.47500000000000003,-49388.00773300613,514.9183636034868
0.5561666666666667,0.48125,-49414.929551700574,541.8401822979285
0.5561666666666667,0.48750000000000004,-49442.445242020956,569.355872618311
0.5561666666666667,0.49375,-49470.54953152401,597.460162121366
0.5561666666666667,0.5,-49499.23729021576,626.1479208131132
0.5561666666666667,0.5062500000000001,-49528.50352605949,655.4141566568433
