scenario,period,model_accuracy,engagement,detection,proxy_sensitivity_actual,proxy_false_positive_actual,expected_override_rate,expected_proxy_rate
detection_drift_misspecification,17,0.6,0.9,0.41739130434782606,0.9,0.1,0.18126086956521742,0.8200000000000001
detection_drift_misspecification,18,0.6,0.9,0.3978260869565217,0.9,0.1,0.17421739130434782,0.8200000000000001
detection_drift_misspecification,19,0.6,0.9,0.3782608695652174,0.9,0.1,0.16717391304347826,0.8200000000000001
detection_drift_misspecification,20,0.6,0.9,0.358695652173913,0.9,0.1,0.16013043478260872,0.8200000000000001
detection_drift_misspecification,21,0.6,0.9,0.3391304347826087,0.9,0.1,0.15308695652173915,0.8200000000000001
detection_drift_misspecification,22,0.6,0.9,0.31956521739130433,0.9,0.1,0.14604347826086955,0.8200000000000001
detection_drift_misspecification,23,0.6,0.9,0.3,0.9,0.1,0.139,0.8200000000000001
proxy_drift_misspecification,0,0.6,0.9,0.75,0.9,0.1,0.3010000000000001,0.8200000000000001
proxy_drift_misspecification,1,0.6,0.9,0.75,0.8891304347826087,0.1,0.3010000000000001,0.8102173913043478
proxy_drift_misspecification,2,0.6,0.9,0.75,0.8782608695652174,0.1,0.3010000000000001,0.8004347826086957
proxy_drift_misspecification,3,0.6,0.9,0.75,0.8673913043478261,0.1,0.3010000000000001,0.7906521739130434
proxy_drift_misspecification,4,0.6,0.9,0.75,0.8565217391304348,0.1,0.3010000000000001,0.7808695652173914
proxy_drift_misspecification,5,0.6,0.9,0.75,0.8456521739130435,0.1,0.3010000000000001,0.7710869565217392
proxy_drift_misspecification,6,0.6,0.9,0.75,0.8347826086956522,0.1,0.3010000000000001,0.761304347826087
proxy_drift_misspecification,7,0.6,0.9,0.75,0.8239130434782609,0.1,0.3010000000000001,0.7515217391304349
proxy_drift_misspecification,8,0.6,0.9,0.75,0.8130434782608695,0.1,0.3010000000000001,0.7417391304347826
proxy_drift_misspecification,9,0.6,0.9,0.75,0.8021739130434783,0.1,0.3010000000000001,0.7319565217391305
proxy_drift_misspecification,10,0.6,0.9,0.75,0.7913043478260869,0.1,0.3010000000000001,0.7221739130434782
proxy_drift_misspecification,11,0.6,0.9,0.75,0.7804347826086957,0.1,0.3010000000000001,0.7123913043478262
