scenario,cases_per_period,audit_share,estimator,replications,truth,mean_estimate,bias,rmse,empirical_sd,mean_reported_se,coverage_95,mcse_bias,mcse_coverage
mixed,1000,0.1,delta_e_audit_proxy,1000,-0.35,-0.3506776470034297,-0.0006776470034297055,0.02343933579473763,0.023441261693582075,0.024022392622736668,0.959,0.0007412777817977539,0.006270486424512857
mixed,1000,0.1,delta_override,1000,-0.15925,-0.15959966,-0.00034965999999999703,0.009039373661930344,0.009037128070807017,0.0087464098468683,0.936,0.00028577908210393596,0.007739767438366605
mixed,1000,0.25,delta_p_audit_override,1000,0.15,0.15020728741279277,0.00020728741279275816,0.020439867425261105,0.020449043392452716,0.019855706348176,0.948,0.0006466555309176705,0.007021111023192843
mixed,1000,0.25,delta_e_audit_override,1000,-0.35,-0.3495694912775332,0.00043050872246675067,0.055659601956131614,0.05568578686715223,0.056276384563144516,0.951,0.001760939197988932,0.006826346021115546
mixed,1000,0.25,delta_p_audit_proxy,1000,0.15,0.1501989468668815,0.00019894686688151286,0.020433931496793064,0.020443187140469315,0.019874153213139158,0.949,0.0006464703399694761,0.006956938982052382
mixed,1000,0.25,delta_e_audit_proxy,1000,-0.35,-0.3491455983864597,0.0008544016135402346,0.02417254173853341,0.024169524983371965,0.024028078444012634,0.953,0.0007643074891179869,0.00669260786241059
mixed,1000,0.25,delta_override,1000,-0.15925,-0.15922909999999998,2.090000000000264e-05,0.008407516291985403,0.008411697215190287,0.008743606115484078,0.949,0.0002660012218769681,0.006956938982052382
mixed,4000,0.1,delta_p_audit_override,1000,0.15,0.15000117656382866,1.1765638286591328e-06,0.015277461721294525,0.015285106140653655,0.015693565141858438,0.951,0.00048335749681891567,0.006826346021115546
mixed,4000,0.1,delta_e_audit_override,1000,-0.35,-0.3509654648748625,-0.0009654648748625633,0.03704743262083571,0.03705338168730667,0.038284178689850665,0.962,0.0011717308114346202,0.006046155803483734
mixed,4000,0.1,delta_p_audit_proxy,1000,0.15,0.15002821930384191,2.821930384192403e-05,0.01523122731739861,0.015238822493097572,0.015713945770448042,0.952,0.0004818938793719386,0.006759881655768837
mixed,4000,0.1,delta_e_audit_proxy,1000,-0.35,-0.34979698305774387,0.00020301694225608745,0.012018279619321672,0.012022577573085587,0.01201499801594649,0.951,0.00038018728477009925,0.006826346021115546
mixed,4000,0.1,delta_override,1000,-0.15925,-0.1594802225,-0.0002302224999999956,0.00432099152900697,0.004317013087337122,0.0043742407833365395,0.952,0.00013651594044740705,0.006759881655768837
mixed,4000,0.25,delta_p_audit_override,1000,0.15,0.14990057954654443,-9.942045345554944e-05,0.00992537322873901,0.009929841441546686,0.009936065277540833,0.948,0.0003140091575961726,0.007021111023192843
mixed,4000,0.25,delta_e_audit_override,1000,-0.35,-0.3492655518165738,0.0007344481834261711,0.02767120762636108,0.02767530017193404,0.028158088752608598,0.951,0.0008751698347216112,0.006826346021115546
mixed,4000,0.25,delta_p_audit_proxy,1000,0.15,0.14990155885022588,-9.844114977411951e-05,0.009932752541614645,0.009937234576279628,0.009938899369916446,0.946,0.0003142429490442186,0.0071473071852271785
mixed,4000,0.25,delta_e_audit_proxy,1000,-0.35,-0.3499211440092835,7.885599071650912e-05,0.011734175056269676,0.011739781448236671,0.012015723310071827,0.953,0.0003712444860901801,0.00669260786241059
mixed,4000,0.25,delta_override,1000,-0.15925,-0.1590391075,0.0002108925000000039,0.004245888030642118,0.00424276921512431,0.004374775230718654,0.961,0.00013416814306237737,0.006122009474020767
stable_negative_control,250,0.1,delta_p_audit_override,1000,0.0,0.0033575805947344876,0.0033575805947344876,0.05812343588616639,0.05805541217359328,0.05723848820921656,0.938,0.001835873329684214,0.00762600813007697
stable_negative_control,250,0.1,delta_e_audit_override,1000,0.0,0.007705701681405863,0.007705701681405863,0.18408507940130298,0.18401576133636327,0.18685240082010487,0.952,0.005819089311928578,0.006759881655768837
stable_negative_control,250,0.1,delta_p_audit_proxy,1000,0.0,0.003650095741133529,0.003650095741133529,0.05931374122895677,0.05923094634277647,0.05859165731481934,0.958,0.0018730469841039402,0.006343185319695463
stable_negative_control,250,0.1,delta_e_audit_proxy,1000,0.0,0.0009789406851670457,0.0009789406851670457,0.047233440828422124,0.04724692455077351,0.04928727812835626,0.958,0.0014940789401857203,0.006343185319695463
stable_negative_control,250,0.1,delta_override,1000,0.0,-0.0005317600000000462,-0.0005317600000000462,0.015571518821232526,0.015570223555362419,0.016397577557838175,0.96,0.0004923737011295005,0.00619677335393187
stable_negative_control,250,0.25,delta_p_audit_override,1000,0.0,0.0009222410740505906,0.0009222410740505906,0.036369197967222926,0.03637569550405586,0.03709394661262027,0.949,0.001150300492655632,0.006956938982052382
stable_negative_control,250,0.25,delta_e_audit_override,1000,0.0,-0.0005004494270067449,-0.0005004494270067449,0.13930360152830287,0.13937240622427363,0.13819825341555494,0.955,0.004407342466469329,0.00655553201502365
stable_negative_control,250,0.25,delta_p_audit_proxy,1000,0.0,0.0009140032533498391,0.0009140032533498391,0.03657908809636237,0.03658596475195285,0.037263393115571586,0.955,0.0011569497901080827,0.00655553201502365
stable_negative_control,250,0.25,delta_e_audit_proxy,1000,0.0,0.002808202382937849,0.002808202382937849,0.04870233170985303,0.0486456319813391,0.04928246070928752,0.945,0.001538309952793611,0.007209368904418752
stable_negative_control,250,0.25,delta_override,1000,0.0,-0.0006406800000000468,-0.0006406800000000468,0.017349181744393555,0.01734602320010143,0.01640120191843958,0.933,0.0005485294165844317,0.007906389820898028
